sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 06, 2023 20:00:31

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
 +bicubic_inst:bicubic_interpolation                        	 5214(2690)	      76(4)	 3058(1053)	 5189(3718)	     0(0)	   216(0)	  108(48)	
  +bram_asymmetric_r8_w1_port_inst_red1:bram_asymmetric_r8_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   36(36)	     0(0)	
  +bram_asymmetric_r8_w1_port_inst_red2:bram_asymmetric_r8_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   36(36)	     0(0)	
  +bram_asymmetric_r8_w1_port_inst_green1:bram_asymmetric_r8_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   36(36)	     0(0)	
  +bram_asymmetric_r8_w1_port_inst_green2:bram_asymmetric_r8_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   36(36)	     0(0)	
  +bram_asymmetric_r8_w1_port_inst_blue1:bram_asymmetric_r8_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   36(36)	     0(0)	
  +bram_asymmetric_r8_w1_port_inst_blue2:bram_asymmetric_r8_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   36(36)	     0(0)	
  +u_tag_fifo:asyn_fifo(C_DATA_WIDTH=11)                    	   206(206)	       0(0)	       9(9)	   305(305)	     0(0)	     0(0)	     0(0)	
  +BiCubic_inst:BiCubic                                     	    2174(0)	       0(0)	    1724(0)	    1094(0)	     0(0)	     0(0)	    44(0)	
   +BiCubic_y3_inst:BiCubic_y3                              	     220(2)	       0(0)	    188(12)	      64(0)	     0(0)	     0(0)	     6(0)	
    +mul_4_y3_inst:mul_4                                    	     66(66)	       0(0)	   100(100)	     64(64)	     0(0)	     0(0)	     3(3)	
    +mul_3_y3_inst:mul_3                                    	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     2(2)	
    +mul_2_y3_inst:mul_2                                    	     34(34)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     1(1)	
    +mul_add_2_y3_inst:mul_add_2                            	   118(118)	       0(0)	     76(76)	       0(0)	     0(0)	     0(0)	     0(0)	
   +BiCubic_y2_inst:BiCubic_y2                              	     325(9)	       0(0)	     249(0)	     200(0)	     0(0)	     0(0)	     5(0)	
    +mul_4_y2_inst:mul_4                                    	     80(80)	       0(0)	   147(147)	     90(90)	     0(0)	     0(0)	     3(3)	
    +mul_3_y2_inst:mul_3                                    	     74(74)	       0(0)	     12(12)	       0(0)	     0(0)	     0(0)	     2(2)	
    +mul_add_1_y2_inst:mul_add_1                            	   162(162)	       0(0)	     90(90)	   110(110)	     0(0)	     0(0)	     0(0)	
   +BiCubic_y1_inst:BiCubic_y1                              	     325(8)	       0(0)	     249(0)	     236(0)	     0(0)	     0(0)	     5(0)	
    +mul_4_y1_inst:mul_4                                    	     80(80)	       0(0)	   147(147)	     90(90)	     0(0)	     0(0)	     3(3)	
    +mul_3_y1_inst:mul_3                                    	     75(75)	       0(0)	     12(12)	       8(8)	     0(0)	     0(0)	     2(2)	
    +mul_add_1_y1_inst:mul_add_1                            	   162(162)	       0(0)	     90(90)	   138(138)	     0(0)	     0(0)	     0(0)	
   +BiCubic_y0_inst:BiCubic_y0                              	     218(0)	       0(0)	     176(0)	      64(0)	     0(0)	     0(0)	     6(0)	
    +mul_4_y0_inst:mul_4                                    	     66(66)	       0(0)	   100(100)	     64(64)	     0(0)	     0(0)	     3(3)	
    +mul_3_y0_inst:mul_3                                    	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     2(2)	
    +mul_2_y0_inst:mul_2                                    	     34(34)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     1(1)	
    +mul_add_2_y0_inst:mul_add_2                            	   118(118)	       0(0)	     76(76)	       0(0)	     0(0)	     0(0)	     0(0)	
   +BiCubic_x3_inst:BiCubic_x3                              	    228(10)	       0(0)	     181(5)	      64(0)	     0(0)	     0(0)	     6(0)	
    +mul_4_x3_inst:mul_4                                    	     66(66)	       0(0)	   100(100)	     64(64)	     0(0)	     0(0)	     3(3)	
    +mul_3_x3_inst:mul_3                                    	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     2(2)	
    +mul_2_x3_inst:mul_2                                    	     34(34)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     1(1)	
    +mul_add_2_x3_inst:mul_add_2                            	   118(118)	       0(0)	     76(76)	       0(0)	     0(0)	     0(0)	     0(0)	
   +BiCubic_x2_inst:BiCubic_x2                              	     317(1)	       0(0)	     256(7)	     200(0)	     0(0)	     0(0)	     5(0)	
    +mul_4_x2_inst:mul_4                                    	     80(80)	       0(0)	   147(147)	     90(90)	     0(0)	     0(0)	     3(3)	
    +mul_3_x2_inst:mul_3                                    	     74(74)	       0(0)	     12(12)	       0(0)	     0(0)	     0(0)	     2(2)	
    +mul_add_1_x2_inst:mul_add_1                            	   162(162)	       0(0)	     90(90)	   110(110)	     0(0)	     0(0)	     0(0)	
   +BiCubic_x1_inst:BiCubic_x1                              	     316(0)	       0(0)	     249(0)	     202(0)	     0(0)	     0(0)	     5(0)	
    +mul_4_x1_inst:mul_4                                    	     80(80)	       0(0)	   147(147)	     90(90)	     0(0)	     0(0)	     3(3)	
    +mul_3_x1_inst:mul_3                                    	     74(74)	       0(0)	     12(12)	       0(0)	     0(0)	     0(0)	     2(2)	
    +mul_add_1_x1_inst:mul_add_1                            	   162(162)	       0(0)	     90(90)	   112(112)	     0(0)	     0(0)	     0(0)	
   +BiCubic_x0_inst:BiCubic_x0                              	     225(7)	       0(0)	     176(0)	      64(0)	     0(0)	     0(0)	     6(0)	
    +mul_4_x0_inst:mul_4                                    	     66(66)	       0(0)	   100(100)	     64(64)	     0(0)	     0(0)	     3(3)	
    +mul_3_x0_inst:mul_3                                    	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     2(2)	
    +mul_2_x0_inst:mul_2                                    	     34(34)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     1(1)	
    +mul_add_2_x0_inst:mul_add_2                            	   118(118)	       0(0)	     76(76)	       0(0)	     0(0)	     0(0)	     0(0)	
  +coefficient_inst:coefficient                             	   144(144)	     72(72)	   272(272)	     72(72)	     0(0)	     0(0)	   16(16)	
 +dvi_encoder_m0:dvi_encoder                                	     131(0)	       2(0)	     150(0)	     171(0)	     0(0)	     0(0)	     0(0)	
  +encb:encode                                              	     43(43)	       2(2)	     50(50)	     57(57)	     0(0)	     0(0)	     0(0)	
  +encr:encode                                              	     43(43)	       0(0)	     50(50)	     57(57)	     0(0)	     0(0)	     0(0)	
  +encg:encode                                              	     45(45)	       0(0)	     50(50)	     57(57)	     0(0)	     0(0)	     0(0)	
 +u_frame_buffer_ch0:frame_buffer(AXI_WR_ID=8'b10101010,AXI_RD_ID=8'b01010101,AXI_DATA_WIDTH=128)	    1856(0)	       1(0)	     296(0)	    2030(0)	     0(0)	    34(0)	     2(0)	
  +u_i_clk_rst_pip:rst_n_piple                              	       3(3)	       0(0)	       0(0)	     97(97)	     0(0)	     0(0)	     0(0)	
  +u_axi_rst_pip:rst_n_piple                                	       3(3)	       0(0)	       0(0)	   102(102)	     0(0)	     0(0)	     0(0)	
  +u_ddr_rx_buffer:ddr_rx_buffer(AXI_DDR_WIDTH=128,AXI_WR_ID=8'b10101010)	   824(231)	       1(0)	    125(92)	   518(260)	     0(0)	    26(0)	     0(0)	
   +u_vid_rx_align:vid_rx_align(AXI_DDR_WIDTH=128)          	   421(292)	       1(1)	       0(0)	     89(14)	     0(0)	     0(0)	     0(0)	
    +u_frame_info_det:frame_info_det                        	   129(129)	       0(0)	       0(0)	     75(75)	     0(0)	     0(0)	     0(0)	
   +u_wr_fifo:DC_FIFO(DATA_WIDTH=128,FIFO_DEPTH=2048)       	    122(72)	       0(0)	     25(25)	    109(56)	     0(0)	   26(26)	     0(0)	
    +U1_WrAddrCnt:FifoAddrCnt(CounterWidth_C=11)            	     25(13)	       0(0)	       0(0)	      20(0)	     0(0)	     0(0)	     0(0)	
     +U1_AddrCnt:GrayCnt(CounterWidth_C=11)                 	     12(12)	       0(0)	       0(0)	     20(20)	     0(0)	     0(0)	     0(0)	
    +U2_RdAddrCnt:FifoAddrCnt(CounterWidth_C=11)            	     25(13)	       0(0)	       0(0)	     33(10)	     0(0)	     0(0)	     0(0)	
     +U1_AddrCnt:GrayCnt(CounterWidth_C=11)                 	     12(12)	       0(0)	       0(0)	     23(23)	     0(0)	     0(0)	     0(0)	
   +u_ddr_wr_ctrl:DdrWrCtrl(AXI_WR_ID=8'b10101010,AXI_DATA_WIDTH=128)	     50(50)	       0(0)	       8(8)	     60(60)	     0(0)	     0(0)	     0(0)	
  +u_ddr_tx_buffer:ddr_tx_buffer(AXI_RD_ID=8'b01010101,AXI_DDR_WIDTH=128)	   964(504)	       0(0)	   171(116)	  1130(671)	     0(0)	     8(0)	     1(1)	
   +u_ddr_rd_ctrl:DdrRdCtrl(AXI_RD_ID=8'b01010101,AXI_DATA_WIDTH=128)	   189(189)	       0(0)	     17(17)	     86(86)	     0(0)	     0(0)	     0(0)	
   +u_wr_fifo:DC_FIFO(DATA_WIDTH=128)                       	    103(61)	       0(0)	     19(19)	     92(47)	     0(0)	     7(7)	     0(0)	
    +U1_WrAddrCnt:FifoAddrCnt                               	     21(11)	       0(0)	       0(0)	      27(8)	     0(0)	     0(0)	     0(0)	
     +U1_AddrCnt:GrayCnt                                    	     10(10)	       0(0)	       0(0)	     19(19)	     0(0)	     0(0)	     0(0)	
    +U2_RdAddrCnt:FifoAddrCnt                               	     21(11)	       0(0)	       0(0)	      18(0)	     0(0)	     0(0)	     0(0)	
     +U1_AddrCnt:GrayCnt                                    	     10(10)	       0(0)	       0(0)	     18(18)	     0(0)	     0(0)	     0(0)	
   +u_data_tx:data_tx(FIFO_ALMOST_FULL=450)                 	    168(69)	       0(0)	      19(0)	   281(196)	     0(0)	     1(0)	     0(0)	
    +u_rd_fifo:DC_FIFO(DATA_WIDTH=16)                       	     99(57)	       0(0)	     19(19)	     85(42)	     0(0)	     1(1)	     0(0)	
     +U1_WrAddrCnt:FifoAddrCnt                              	     21(11)	       0(0)	       0(0)	      25(9)	     0(0)	     0(0)	     0(0)	
      +U1_AddrCnt:GrayCnt                                   	     10(10)	       0(0)	       0(0)	     16(16)	     0(0)	     0(0)	     0(0)	
     +U2_RdAddrCnt:FifoAddrCnt                              	     21(11)	       0(0)	       0(0)	      18(1)	     0(0)	     0(0)	     0(0)	
      +U1_AddrCnt:GrayCnt                                   	     10(10)	       0(0)	       0(0)	     17(17)	     0(0)	     0(0)	     0(0)	
  +u_bank_sw:bank_switch(FB_NUM=3,AXI_DATA_WIDTH=128)       	     62(62)	       0(0)	       0(0)	   183(183)	     0(0)	     0(0)	     1(1)	
 +inst_ddr3_axi:efx_ddr3_axi                                	  2075(321)	     492(0)	   358(129)	  2136(422)	     0(0)	    27(0)	     0(0)	
  +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       8(8)	       8(8)	       9(9)	     21(21)	     0(0)	     0(0)	     0(0)	
  +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo(DATA_DEPTH=32)           	       0(0)	   116(116)	       0(0)	     58(58)	     0(0)	     0(0)	     0(0)	
  +u_wr_addr_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=48,DATA_DEPTH=32)	       8(8)	   124(124)	       9(9)	     78(78)	     0(0)	     0(0)	     0(0)	
  +inst_awid_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       8(8)	       0(0)	     12(12)	     11(11)	     0(0)	     0(0)	     0(0)	
  +inst_arid_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       8(8)	       0(0)	       9(9)	     17(17)	     0(0)	     0(0)	     0(0)	
  +inst_respon_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       8(8)	       0(0)	     12(12)	     13(13)	     0(0)	     0(0)	     0(0)	
  +inst_rd_brust_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       0(0)	     32(32)	       0(0)	     16(16)	     0(0)	     0(0)	     0(0)	
  +inst_rd_last_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       0(0)	     32(32)	       0(0)	     16(16)	     0(0)	     0(0)	     0(0)	
  +inst_respon_len_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       8(8)	     32(32)	       9(9)	     44(44)	     0(0)	     0(0)	     0(0)	
  +inst_efx_ddr3:efx_ddr3_soft_controller                   	    1706(0)	     148(0)	     169(0)	    1440(0)	     0(0)	    27(0)	     0(0)	
   +u_efx_ddr3_soft_controller:efx_ddr3_soft_controller_6407b0f71fba4e5b90898b565f250ce8	  1706(147)	     148(0)	    169(25)	  1440(321)	     0(0)	    27(0)	     0(0)	
    +top_mc:controller_top_6407b0f71fba4e5b90898b565f250ce8 	   1547(27)	     146(0)	     144(0)	   1108(26)	     0(0)	    27(0)	     0(0)	
     +rst_ctrl0:reset_ctrl_6407b0f71fba4e5b90898b565f250ce8(NUM_RST=4,CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	      16(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[3].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +rst_ctrl1:reset_ctrl_6407b0f71fba4e5b90898b565f250ce8(CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	       4(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +fifo_ar:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     56(42)	     0(0)	     2(2)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
     +fifo_aw:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     60(43)	     0(0)	     2(2)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
     +fifo_wr:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=144)	     54(26)	       0(0)	       8(8)	     50(37)	     0(0)	     8(8)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
     +fifo_rdpush:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     43(31)	     0(0)	     0(0)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +fifo_rd:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=128)	     54(26)	       0(0)	     16(16)	     98(73)	     0(0)	     7(7)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	     16(16)	     0(0)	     0(0)	     0(0)	
     +fifo_ack:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     45(38)	     0(0)	     1(1)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
     +ac_fifo:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     44(39)	     0(0)	     3(3)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
     +controller_main:ddr_3_controller_6407b0f71fba4e5b90898b565f250ce8	 1122(1122)	   146(146)	     96(96)	   686(681)	     0(0)	     4(0)	     0(0)	
      +map_ram:user_dual_port_ram_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	       5(5)	     0(0)	     4(4)	     0(0)	
    +rst_top0:reset_ctrl_6407b0f71fba4e5b90898b565f250ce8(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	       2(0)	       2(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
    +phase_u0:phase_shift_6407b0f71fba4e5b90898b565f250ce8  	     10(10)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
 +U2_Axi4FullDeplex_0:Axi4FullDeplex(AXI_DATA_WIDTH=128)    	       0(0)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
 +edb_top_inst:edb_top                                      	   813(813)	     54(54)	   102(102)	 1032(1032)	     0(0)	   28(28)	     0(0)	
