
# Efinity Pinout Report
# Version: 2023.1.150.1.5
# Date: 2023-11-11 14:14

# Copyright (C) 2017 - 2023 Efinix Inc. All rights reserved.

# Device: Ti60F225
# Package status: final
# Project: DDR3_MC
# Configuration mode: active (x1)

Pin Number,Pin Name,Signal Name,Direction,Bank,I/O Bank Voltage,I/O Standard,Pull Type,Function
N9,VCCIO4A,,Power,4A,1.5 V,,,VCCIO Power
N10,GPIOB_P_13_CDI14,dq[5].P,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO
N11,VCCIO4A,,Power,4A,1.5 V,,,VCCIO Power
N12,REF_RES_4A,,Input,4A,1.5 V,,,
N13,GPIOR_24,,Input,BR,3.3 V,,weak pullup,User IO
N14,GPIOR_21,system_gpio_0_io[0],Bidirectional,BR,3.3 V,3.3 V LVTTL,,User IO
N15,VCCIO33_BR,,Power,BR,3.3 V,,,VCCIO Power
P1,GPIOL_P_01_SSL_N,system_spi_0_io_ss.P,Output,1A,1.8 V,1.8 V LVCMOS,,User IO/Configuration
P2,GPIOL_P_00_PLLIN0,,,1A,1.8 V,,,User IO/PLL_CLKIN
P3,TDI,,Input,BL,1.8 V,,,Configuration
P4,VCCIO33_BL,,Power,BL,1.8 V,,,VCCIO Power
P5,GPIOB_N_00,dq[15].N,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO/PLL_CLKIN
P6,GPIOB_N_01,dq[12].N,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO/PLL_EXTFB
P7,GPIOB_N_02_CDI5,dqs[1].N,Bidirectional,4B,1.5 V,1.5 V Differential SSTL,,User IO
P8,GPIOB_N_07_CLK15_N,dq[8].N,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO/GCLK/RCLK
P9,GPIOB_N_12_CDI13,dq[3].N,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO
P10,GPIOB_N_14_CDI17,dq[6].N,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO
P11,GPIOB_P_17_PLLIN1,dq[7].P,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO/PLL_CLKIN
P12,GPIOB_N_17,dq[4].N,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO/PLL_CLKIN
P13,GPIOR_27,nrst,Input,BR,3.3 V,3.3 V LVCMOS,weak pullup,User IO
P14,GPIOR_22,system_gpio_0_io[1],Bidirectional,BR,3.3 V,3.3 V LVTTL,,User IO
P15,GPIOR_25,system_gpio_0_io[3],Bidirectional,BR,3.3 V,3.3 V LVTTL,,User IO
R1,GND,,Power,,,,,Ground
R2,GPIOL_N_00,,,1A,1.8 V,,,User IO/PLL_CLKIN
R3,GPIOL_01,,Input,BL,1.8 V,,weak pullup,User IO
R4,GPIOL_02,,Input,BL,1.8 V,,weak pullup,User IO
R5,GPIOB_P_00_PLLIN1,dq[14].P,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO/PLL_CLKIN
R6,GPIOB_P_01_EXTFB,dq[10].P,Bidirectional,4B,1.5 V,1.5 V SSTL,,User IO/PLL_EXTFB
R7,GPIOB_P_02_CDI4,dqs[1].P,Bidirectional,4B,1.5 V,1.5 V Differential SSTL,,User IO
R8,GPIOB_P_07_CLK15_P,dm[1].P,Output,4B,1.5 V,1.5 V SSTL,,User IO/GCLK/RCLK
R9,GPIOB_P_12_CDI12,dq[0].P,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO
R10,GPIOB_P_14_CDI16,dq[2].P,Bidirectional,4A,1.5 V,1.5 V SSTL,,User IO
R11,GPIOB_N_15_CDI19,dqs[0].N,Bidirectional,4A,1.5 V,1.5 V Differential SSTL,,User IO
R12,GPIOB_P_15_CDI18,dqs[0].P,Bidirectional,4A,1.5 V,1.5 V Differential SSTL,,User IO
R13,GPIOR_29_PLLIN2,,Input,BR,3.3 V,,weak pullup,User IO/PLL_CLKIN
R14,GPIOR_28,system_gpio_0_io[2],Bidirectional,BR,3.3 V,3.3 V LVTTL,,User IO
R15,GND,,Power,,,,,Ground
