sep=\t
Module Resource Usage Distribution Estimates
Generated at: Nov 11, 2023 14:10:02

Note: some resources maybe grouped under different hierarchy due to optimization and LUT mapping

Module	         FFs	        SRLs	        ADDs	        LUTs	    COMB4s	      RAMs	 DSP/MULTs
  +inst1:yuv422_2_ycbcr444                                  	     74(74)	       2(2)	       0(0)	     53(53)	     0(0)	     0(0)	     0(0)	
  +inst2:ycbcr_to_rgb                                       	     86(86)	       0(0)	   111(111)	     80(80)	     0(0)	     0(0)	     5(5)	
 +inf_control_inst:inf_control                              	    121(47)	       0(0)	     92(63)	   433(241)	     0(0)	     0(0)	     0(0)	
  +inf_rev_inst:inf_rev                                     	     74(72)	       0(0)	     29(29)	   192(188)	     0(0)	     0(0)	     0(0)	
   +edge_gen_inst1:edge_gen                                 	       2(2)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
 +x_radio_calculator:radio_calculator                       	      67(0)	       0(0)	     329(0)	     353(0)	     0(0)	     0(0)	     0(0)	
  +u_divider:divider_00183e7ed1594d86b469112a8f19569f(WIDTHN=27,WIDTHD=11,LATENCY=7,PIPELINE=1'b1)	     67(67)	       0(0)	   329(329)	   353(353)	     0(0)	     0(0)	     0(0)	
 +y_radio_calculator:radio_calculator                       	      92(0)	       1(0)	     399(0)	     426(0)	     0(0)	     0(0)	     0(0)	
  +u_divider:divider_00183e7ed1594d86b469112a8f19569f(WIDTHN=27,WIDTHD=11,LATENCY=7,PIPELINE=1'b1)	     92(92)	       1(1)	   399(399)	   426(426)	     0(0)	     0(0)	     0(0)	
 +rgb_bram_top_inst:rgb_bram_top                            	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	    72(0)	     0(0)	
  +bram_asymmetric_r2_w1_port_even_red:bram_asymmetric_r2_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   12(12)	     0(0)	
  +bram_asymmetric_r2_w1_port_odd_red:bram_asymmetric_r2_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   12(12)	     0(0)	
  +bram_asymmetric_r2_w1_port_even_green:bram_asymmetric_r2_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   12(12)	     0(0)	
  +bram_asymmetric_r2_w1_port_odd_green:bram_asymmetric_r2_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   12(12)	     0(0)	
  +bram_asymmetric_r2_w1_port_even_blue:bram_asymmetric_r2_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   12(12)	     0(0)	
  +bram_asymmetric_r2_w1_port_odd_blue:bram_asymmetric_r2_w1_port(C_ADDR_WIDTH=12)	       0(0)	       0(0)	       0(0)	       0(0)	     0(0)	   12(12)	     0(0)	
 +nearest_inst:nearest_interpolation_rgb_v4                 	   674(468)	       4(4)	     90(80)	   730(441)	     0(0)	     0(0)	     0(0)	
  +u_tag_fifo:asyn_fifo(C_DATA_WIDTH=11)                    	   206(206)	       0(0)	     10(10)	   289(289)	     0(0)	     0(0)	     0(0)	
 +bilinear_inst:bilinear_interpolation_rgb_v3               	  1080(874)	       2(2)	   564(554)	   614(324)	     0(0)	     0(0)	   28(28)	
  +u_tag_fifo:asyn_fifo(C_DATA_WIDTH=11)                    	   206(206)	       0(0)	     10(10)	   290(290)	     0(0)	     0(0)	     0(0)	
 +i74:nine_point_interpolation_v3                           	   822(616)	       4(4)	   378(368)	   736(456)	     0(0)	     0(0)	     0(0)	
  +u_tag_fifo:asyn_fifo(C_DATA_WIDTH=11)                    	   206(206)	       0(0)	     10(10)	   280(280)	     0(0)	     0(0)	     0(0)	
 +dvi_encoder_m0:dvi_encoder                                	     131(0)	       2(0)	     150(0)	     175(0)	     0(0)	     0(0)	     0(0)	
  +encb:encode                                              	     45(45)	       2(2)	     50(50)	     59(59)	     0(0)	     0(0)	     0(0)	
  +encr:encode                                              	     43(43)	       0(0)	     50(50)	     58(58)	     0(0)	     0(0)	     0(0)	
  +encg:encode                                              	     43(43)	       0(0)	     50(50)	     58(58)	     0(0)	     0(0)	     0(0)	
 +u_frame_buffer_ch0:frame_buffer(AXI_WR_ID=8'b10101010,AXI_RD_ID=8'b01010101,AXI_DATA_WIDTH=128,START_ADDR=32'b0100000000000000000)	    1858(0)	       1(0)	     305(0)	    2004(0)	     0(0)	    34(0)	     2(0)	
  +u_i_clk_rst_pip:rst_n_piple                              	       3(3)	       0(0)	       0(0)	     95(95)	     0(0)	     0(0)	     0(0)	
  +u_axi_rst_pip:rst_n_piple                                	       3(3)	       0(0)	       0(0)	     94(94)	     0(0)	     0(0)	     0(0)	
  +u_ddr_rx_buffer:ddr_rx_buffer(AXI_DDR_WIDTH=128,AXI_WR_ID=8'b10101010)	   825(232)	       1(0)	    125(92)	   514(276)	     0(0)	    26(0)	     0(0)	
   +u_vid_rx_align:vid_rx_align(AXI_DDR_WIDTH=128)          	   421(293)	       1(1)	       0(0)	     88(14)	     0(0)	     0(0)	     0(0)	
    +u_frame_info_det:frame_info_det                        	   128(128)	       0(0)	       0(0)	     74(74)	     0(0)	     0(0)	     0(0)	
   +u_wr_fifo:DC_FIFO(DATA_WIDTH=128,FIFO_DEPTH=2048)       	    122(72)	       0(0)	     25(25)	    114(60)	     0(0)	   26(26)	     0(0)	
    +U1_WrAddrCnt:FifoAddrCnt(CounterWidth_C=11)            	     25(13)	       0(0)	       0(0)	      22(0)	     0(0)	     0(0)	     0(0)	
     +U1_AddrCnt:GrayCnt(CounterWidth_C=11)                 	     12(12)	       0(0)	       0(0)	     22(22)	     0(0)	     0(0)	     0(0)	
    +U2_RdAddrCnt:FifoAddrCnt(CounterWidth_C=11)            	     25(13)	       0(0)	       0(0)	     32(11)	     0(0)	     0(0)	     0(0)	
     +U1_AddrCnt:GrayCnt(CounterWidth_C=11)                 	     12(12)	       0(0)	       0(0)	     21(21)	     0(0)	     0(0)	     0(0)	
   +u_ddr_wr_ctrl:DdrWrCtrl(AXI_WR_ID=8'b10101010,AXI_DATA_WIDTH=128)	     50(50)	       0(0)	       8(8)	     36(36)	     0(0)	     0(0)	     0(0)	
  +u_ddr_tx_buffer:ddr_tx_buffer(AXI_RD_ID=8'b01010101,AXI_DDR_WIDTH=128)	   965(504)	       0(0)	   172(116)	  1106(671)	     0(0)	     8(0)	     1(1)	
   +u_ddr_rd_ctrl:DdrRdCtrl(AXI_RD_ID=8'b01010101,AXI_DATA_WIDTH=128)	   190(190)	       0(0)	     18(18)	     77(77)	     0(0)	     0(0)	     0(0)	
   +u_wr_fifo:DC_FIFO(DATA_WIDTH=128)                       	    103(61)	       0(0)	     19(19)	     91(48)	     0(0)	     7(7)	     0(0)	
    +U1_WrAddrCnt:FifoAddrCnt                               	     21(11)	       0(0)	       0(0)	      25(8)	     0(0)	     0(0)	     0(0)	
     +U1_AddrCnt:GrayCnt                                    	     10(10)	       0(0)	       0(0)	     17(17)	     0(0)	     0(0)	     0(0)	
    +U2_RdAddrCnt:FifoAddrCnt                               	     21(11)	       0(0)	       0(0)	      18(1)	     0(0)	     0(0)	     0(0)	
     +U1_AddrCnt:GrayCnt                                    	     10(10)	       0(0)	       0(0)	     17(17)	     0(0)	     0(0)	     0(0)	
   +u_data_tx:data_tx(FIFO_ALMOST_FULL=450)                 	    168(69)	       0(0)	      19(0)	   267(181)	     0(0)	     1(0)	     0(0)	
    +u_rd_fifo:DC_FIFO(DATA_WIDTH=16)                       	     99(57)	       0(0)	     19(19)	     86(41)	     0(0)	     1(1)	     0(0)	
     +U1_WrAddrCnt:FifoAddrCnt                              	     21(11)	       0(0)	       0(0)	      26(8)	     0(0)	     0(0)	     0(0)	
      +U1_AddrCnt:GrayCnt                                   	     10(10)	       0(0)	       0(0)	     18(18)	     0(0)	     0(0)	     0(0)	
     +U2_RdAddrCnt:FifoAddrCnt                              	     21(11)	       0(0)	       0(0)	      19(1)	     0(0)	     0(0)	     0(0)	
      +U1_AddrCnt:GrayCnt                                   	     10(10)	       0(0)	       0(0)	     18(18)	     0(0)	     0(0)	     0(0)	
  +u_bank_sw:bank_switch(FB_NUM=3,START_ADDR=32'b0100000000000000000,AXI_DATA_WIDTH=128)	     62(62)	       0(0)	       8(8)	   195(195)	     0(0)	     0(0)	     1(1)	
 +inst_ddr3_axi:efx_ddr3_axi                                	  2091(337)	     508(0)	   357(128)	  2176(442)	     0(0)	    27(0)	     0(0)	
  +inst_arburst_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       8(8)	       8(8)	       9(9)	     21(21)	     0(0)	     0(0)	     0(0)	
  +u_rd_addr_fifo:Ddr_Ctrl_Sc_Fifo(DATA_DEPTH=32)           	       0(0)	   116(116)	       0(0)	     58(58)	     0(0)	     0(0)	     0(0)	
  +u_wr_addr_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=48,DATA_DEPTH=32)	       8(8)	   124(124)	       9(9)	     79(79)	     0(0)	     0(0)	     0(0)	
  +inst_awid_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       8(8)	       0(0)	     12(12)	     12(12)	     0(0)	     0(0)	     0(0)	
  +inst_arid_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       8(8)	     16(16)	       9(9)	     25(25)	     0(0)	     0(0)	     0(0)	
  +inst_respon_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       8(8)	       0(0)	     12(12)	     14(14)	     0(0)	     0(0)	     0(0)	
  +inst_rd_brust_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       0(0)	     32(32)	       0(0)	     16(16)	     0(0)	     0(0)	     0(0)	
  +inst_rd_last_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       0(0)	     32(32)	       0(0)	     16(16)	     0(0)	     0(0)	     0(0)	
  +inst_respon_len_fifo:Ddr_Ctrl_Sc_Fifo(DATA_WIDTH=8,DATA_DEPTH=32)	       8(8)	     32(32)	       9(9)	     42(42)	     0(0)	     0(0)	     0(0)	
  +inst_efx_ddr3:efx_ddr3_soft_controller                   	    1706(0)	     148(0)	     169(0)	    1451(0)	     0(0)	    27(0)	     0(0)	
   +u_efx_ddr3_soft_controller:efx_ddr3_soft_controller_6407b0f71fba4e5b90898b565f250ce8	  1706(147)	     148(0)	    169(25)	  1451(328)	     0(0)	    27(0)	     0(0)	
    +top_mc:controller_top_6407b0f71fba4e5b90898b565f250ce8 	   1547(27)	     146(0)	     144(0)	   1111(26)	     0(0)	    27(0)	     0(0)	
     +rst_ctrl0:reset_ctrl_6407b0f71fba4e5b90898b565f250ce8(NUM_RST=4,CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	      16(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[2].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[3].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +rst_ctrl1:reset_ctrl_6407b0f71fba4e5b90898b565f250ce8(CYCLE=4,IN_RST_ACTIVE=4'b0,OUT_RST_ACTIVE=4'b0)	       4(0)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
      +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=4)	       4(4)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +fifo_ar:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     65(54)	     0(0)	     2(2)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
     +fifo_aw:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=32)	     54(26)	       0(0)	       8(8)	     56(46)	     0(0)	     2(2)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +fifo_wr:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=144)	     54(26)	       0(0)	       8(8)	     50(41)	     0(0)	     8(8)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
     +fifo_rdpush:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=1)	     54(26)	       0(0)	       8(8)	     44(31)	     0(0)	     0(0)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       4(4)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       9(9)	     0(0)	     0(0)	     0(0)	
     +fifo_rd:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=128)	     54(26)	       0(0)	     16(16)	     95(72)	     0(0)	     7(7)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	     12(12)	     0(0)	     0(0)	     0(0)	
     +fifo_ack:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=2)	     54(26)	       0(0)	       0(0)	     45(37)	     0(0)	     1(1)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       5(5)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
     +ac_fifo:streamfifocc64_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=52)	     54(26)	       0(0)	       0(0)	     45(40)	     0(0)	     3(3)	     0(0)	
      +popToPushGray_buffercc:buffercc_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
      +pushToPopGray_buffercc:buffercc_1_6407b0f71fba4e5b90898b565f250ce8	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
     +controller_main:ddr_3_controller_6407b0f71fba4e5b90898b565f250ce8	 1122(1122)	   146(146)	     96(96)	   685(681)	     0(0)	     4(0)	     0(0)	
      +map_ram:user_dual_port_ram_6407b0f71fba4e5b90898b565f250ce8(DATA_WIDTH=72,OUTPUT_REG="FALSE",RAM_INIT_FILE="ddr3_controller.bin")	       0(0)	       0(0)	       0(0)	       4(4)	     0(0)	     4(4)	     0(0)	
    +rst_top0:reset_ctrl_6407b0f71fba4e5b90898b565f250ce8(NUM_RST=2,CYCLE=5,IN_RST_ACTIVE=2'b0,OUT_RST_ACTIVE=2'b0)	       2(0)	       2(0)	       0(0)	       1(0)	     0(0)	     0(0)	     0(0)	
     +genblk1[0].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +genblk1[1].genblk1.genblk1.inst_sysclk_rstn:reset_sub_6407b0f71fba4e5b90898b565f250ce8(OUT_RST_ACTIVE="LOW",CYCLE=5)	       1(1)	       1(1)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
    +phase_u0:phase_shift_6407b0f71fba4e5b90898b565f250ce8  	     10(10)	       0(0)	       0(0)	     11(11)	     0(0)	     0(0)	     0(0)	
 +U2_Axi4FullDeplex_0:Axi4FullDeplex(AXI_DATA_WIDTH=128)    	       3(3)	       0(0)	       0(0)	       8(8)	     0(0)	     0(0)	     0(0)	
 +socInst:soc_riscv                                         	   10152(0)	       2(0)	    1741(0)	   10879(0)	     0(0)	    64(0)	    13(0)	
  +u_EfxSapphireSoc:EfxSapphireSoc_7c0bd1d539ef4f2a93f78d9fef41a3f5	10152(3678)	       2(0)	   1741(42)	10879(1732)	     0(0)	    64(0)	    13(0)	
   +system_fpu_logic:FpuCore_7c0bd1d539ef4f2a93f78d9fef41a3f5	 3401(3007)	       0(0)	  1073(782)	 4738(4253)	     0(0)	   12(12)	     9(9)	
    +streamFork_1:StreamFork_7c0bd1d539ef4f2a93f78d9fef41a3f5	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
    +cmdArbiter_arbiter:StreamArbiter_2_7c0bd1d539ef4f2a93f78d9fef41a3f5	       0(0)	       0(0)	       0(0)	       1(1)	     0(0)	     0(0)	     0(0)	
    +div_divider:FpuDiv_7c0bd1d539ef4f2a93f78d9fef41a3f5    	   224(224)	       0(0)	   229(229)	   239(239)	     0(0)	     0(0)	     0(0)	
    +sqrt_sqrt:FpuSqrt_7c0bd1d539ef4f2a93f78d9fef41a3f5     	   170(170)	       0(0)	     62(62)	   164(164)	     0(0)	     0(0)	     0(0)	
    +streamArbiter_4:StreamArbiter_3_7c0bd1d539ef4f2a93f78d9fef41a3f5	       0(0)	       0(0)	       0(0)	     80(80)	     0(0)	     0(0)	     0(0)	
   +bufferCC_12:BufferCC_7c0bd1d539ef4f2a93f78d9fef41a3f5   	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +bufferCC_13:BufferCC_1_7c0bd1d539ef4f2a93f78d9fef41a3f5 	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +bufferCC_14:BufferCC_5_7c0bd1d539ef4f2a93f78d9fef41a3f5 	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +system_cores_0_logic_cpu:VexRiscv_7c0bd1d539ef4f2a93f78d9fef41a3f5	 1860(1619)	       0(0)	   367(355)	 3029(2747)	     0(0)	    20(4)	     4(4)	
    +IBusCachedPlugin_cache:InstructionCache_7c0bd1d539ef4f2a93f78d9fef41a3f5	   101(101)	       0(0)	       6(6)	   104(104)	     0(0)	     6(6)	     0(0)	
    +dataCache_1:DataCache_7c0bd1d539ef4f2a93f78d9fef41a3f5 	   140(140)	       0(0)	       6(6)	   178(178)	     0(0)	   10(10)	     0(0)	
   +system_hardJtag_debug_logic_jtagBridge:JtagBridgeNoTap_7c0bd1d539ef4f2a93f78d9fef41a3f5	     81(74)	       1(0)	       0(0)	     47(45)	     0(0)	     0(0)	     0(0)	
    +flowCCByToggle_1:FlowCCByToggle_7c0bd1d539ef4f2a93f78d9fef41a3f5	       7(7)	       1(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
     +inputArea_target_buffercc:BufferCC_10_7c0bd1d539ef4f2a93f78d9fef41a3f5	       0(0)	       1(1)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +system_hardJtag_debug_logic_debugger:SystemDebugger_7c0bd1d539ef4f2a93f78d9fef41a3f5	     73(73)	       1(1)	       0(0)	     25(25)	     0(0)	     0(0)	     0(0)	
   +bufferCC_15:BufferCC_3_7c0bd1d539ef4f2a93f78d9fef41a3f5 	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
   +bmbDecoder_4:BmbDecoder_7c0bd1d539ef4f2a93f78d9fef41a3f5	       2(2)	       0(0)	       0(0)	       6(6)	     0(0)	     0(0)	     0(0)	
   +system_bridge_bmb_arbiter:BmbArbiter_7c0bd1d539ef4f2a93f78d9fef41a3f5	       3(0)	       0(0)	       0(0)	     122(2)	     0(0)	     0(0)	     0(0)	
    +memory_arbiter:StreamArbiter_1_7c0bd1d539ef4f2a93f78d9fef41a3f5	       3(3)	       0(0)	       0(0)	   120(120)	     0(0)	     0(0)	     0(0)	
   +system_ddr_ddrLogic_cc:BmbCcFifo_7c0bd1d539ef4f2a93f78d9fef41a3f5	     112(0)	       0(0)	       0(0)	      88(0)	     0(0)	    18(0)	     0(0)	
    +io_input_cmd_queue:StreamFifoCC_7c0bd1d539ef4f2a93f78d9fef41a3f5	     56(26)	       0(0)	       0(0)	     44(39)	     0(0)	   10(10)	     0(0)	
     +popToPushGray_buffercc:BufferCC_7_7c0bd1d539ef4f2a93f78d9fef41a3f5	     14(14)	       0(0)	       0(0)	       2(2)	     0(0)	     0(0)	     0(0)	
     +bufferCC_12:BufferCC_8_7c0bd1d539ef4f2a93f78d9fef41a3f5	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
     +pushToPopGray_buffercc:BufferCC_9_7c0bd1d539ef4f2a93f78d9fef41a3f5	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
    +io_output_rsp_queue:StreamFifoCC_1_7c0bd1d539ef4f2a93f78d9fef41a3f5	     56(26)	       0(0)	       0(0)	     44(38)	     0(0)	     8(8)	     0(0)	
     +popToPushGray_buffercc:BufferCC_4_7c0bd1d539ef4f2a93f78d9fef41a3f5	     14(14)	       0(0)	       0(0)	       3(3)	     0(0)	     0(0)	     0(0)	
     +bufferCC_12:BufferCC_5_7c0bd1d539ef4f2a93f78d9fef41a3f5	       2(2)	       0(0)	       0(0)	       0(0)	     0(0)	     0(0)	     0(0)	
